,Potability
1260,0
1025,0
587,0
2484,0
1036,0
2198,0
235,0
355,1
1677,0
2641,0
2262,0
1987,1
778,1
2562,0
2326,1
1993,1
295,1
497,0
2038,1
614,0
1029,0
1573,1
2935,0
2760,1
1984,1
1965,1
570,0
425,0
2864,1
1274,0
507,0
2979,0
1213,1
2332,1
645,0
1263,0
3221,1
369,1
1565,1
601,0
2763,1
2951,0
1830,0
3153,1
2160,0
2017,1
2237,0
2554,0
2512,0
1296,0
935,0
2805,1
1743,0
1332,0
213,0
1463,0
3040,0
2009,1
1894,1
801,1
1287,0
2958,0
746,1
3199,1
1399,0
3225,1
2449,1
2959,0
511,0
2783,1
3072,0
2010,1
927,0
1844,0
2221,0
1527,1
788,1
59,0
2905,0
2185,0
1539,1
424,0
1240,0
1321,0
949,0
2774,1
2186,0
2310,1
1615,1
1796,0
600,0
1520,1
1309,0
2994,0
2664,0
3237,1
2882,0
3042,0
2264,0
1342,0
366,1
1018,0
1128,1
2556,0
2832,1
1765,0
790,1
3245,1
2400,1
1006,0
114,0
1655,0
1366,0
1685,0
710,1
1958,1
1261,0
2428,1
3084,0
3045,0
2254,0
1352,0
2854,1
934,0
2743,1
306,1
939,0
2524,0
111,0
1890,1
847,0
3207,1
2614,0
3064,0
1267,0
191,0
2168,0
2942,0
2654,0
2660,0
744,1
1753,0
1641,0
1057,0
1042,0
396,1
3172,1
1758,0
576,0
3137,1
14,0
726,1
2881,0
2450,1
3038,0
3224,1
3122,1
326,1
1719,0
205,0
3270,1
2045,1
945,0
1072,1
1583,1
3071,0
1223,1
77,0
1511,1
422,0
1091,1
892,0
2752,1
564,0
2459,1
2975,0
1508,1
2406,1
1572,1
608,0
563,0
1919,1
2492,0
1360,0
89,0
1887,0
110,0
1186,1
1635,1
1483,1
2442,1
2778,1
812,1
2624,0
3023,0
1624,1
3081,0
1816,0
1319,0
2331,1
421,0
2461,0
1960,1
1216,1
178,0
71,0
277,1
1937,1
704,1
2809,1
249,0
755,1
1675,0
2392,1
192,0
1717,0
2355,1
1379,0
2871,0
1940,1
1119,1
2441,1
143,0
799,1
3124,1
2338,1
2285,0
1617,1
642,0
357,1
2653,0
1190,1
1546,1
226,0
2557,0
822,0
2472,0
677,1
1347,0
3119,1
2156,0
3226,1
230,0
2825,1
2353,1
1194,1
1086,1
1416,0
2391,1
1934,1
149,0
1795,0
653,0
1628,1
1728,0
2573,0
2159,0
1457,0
1952,1
1577,1
1460,0
1232,0
3145,1
1562,1
8,0
1579,1
2057,0
2601,0
2322,1
711,1
2041,1
33,0
657,0
3111,0
1203,1
2987,0
1480,1
1676,0
272,1
2463,0
1495,1
953,0
2794,1
3034,0
240,0
2779,1
2323,1
1201,1
2438,1
1806,0
488,0
1818,0
1877,0
2404,1
1613,1
194,0
1335,0
989,0
2172,0
2101,0
973,0
2684,0
1299,0
786,1
1023,0
435,0
2528,0
2270,0
3271,1
223,0
1246,0
2086,0
2308,1
2233,0
985,0
1799,0
1118,1
2300,1
1986,1
1868,0
1109,1
1258,0
2361,1
2937,0
2073,0
1303,0
172,0
1153,1
958,0
2440,1
2431,1
1841,0
2740,1
351,1
2179,0
1645,0
808,1
2549,0
549,0
1855,0
2190,0
1144,1
95,0
2797,1
3273,1
2090,0
2702,0
3223,1
2721,1
237,0
1364,0
1549,1
350,1
2095,0
138,0
860,0
1860,0
2023,1
1229,1
2031,1
2290,0
2768,1
536,0
901,0
2899,0
1591,1
2257,0
1558,1
1692,0
2,0
3012,0
3087,0
1066,0
986,0
1365,0
1750,0
1956,1
47,0
675,1
1244,0
40,0
496,0
1402,0
714,1
3112,0
2897,0
961,0
2001,1
1718,0
1222,1
3195,1
1437,0
2427,1
181,0
1678,0
443,0
386,1
3053,0
611,0
215,0
2527,0
1883,0
1098,1
1259,0
865,0
1217,1
855,0
923,0
816,1
618,0
886,0
2074,0
1339,0
548,0
2059,0
2226,0
43,0
156,0
3246,1
1282,0
253,1
3243,1
2251,0
175,0
199,0
975,0
1693,0
2289,0
3206,1
1340,0
1116,1
652,0
1326,0
2011,1
1084,1
1316,0
367,1
547,0
3100,0
2366,1
1596,1
1044,0
2615,0
1096,1
1388,0
2574,0
1171,1
1200,1
1048,0
1206,1
2317,1
1275,0
1074,1
2966,0
478,0
252,1
2968,0
560,0
2681,0
1708,0
1001,0
572,0
2288,0
1950,1
1805,0
896,0
450,0
360,1
885,0
806,1
2963,0
24,0
1661,0
1878,0
2292,0
740,1
2712,1
1978,1
2409,1
2380,1
1099,1
3131,1
1177,1
1671,0
832,0
385,1
1959,1
1995,1
211,0
681,1
2533,0
3214,1
2483,0
984,0
2395,1
2795,1
1183,1
2128,0
1108,1
628,0
2643,0
1284,0
522,0
3009,0
2443,1
2986,0
1397,0
2401,1
2311,1
109,0
2448,1
947,0
2697,0
1095,1
1543,1
2460,0
2020,1
603,0
915,0
2158,0
1924,1
259,1
2003,1
2231,0
2910,0
2122,0
750,1
2200,0
2616,0
1981,1
1265,0
3079,0
526,0
2931,0
2575,0
2485,0
174,0
2191,0
922,0
1550,1
1536,1
1784,0
2667,0
139,0
1862,0
1989,1
859,0
2337,1
1998,1
459,0
1800,0
2592,0
2489,0
1864,0
2434,1
1742,0
1052,0
2629,0
3215,1
1438,0
3140,1
2857,1
660,1
1865,0
2054,0
206,0
1191,1
314,1
774,1
3039,0
529,0
831,0
999,0
633,0
1067,0
1498,1
271,1
582,0
1185,1
2177,0
1113,1
1925,1
2911,0
180,0
1997,1
3184,1
1419,0
2670,0
2842,1
1770,0
328,1
1329,0
1564,1
3228,1
3120,1
819,1
2622,0
1292,0
2719,1
477,0
2216,0
3161,1
2933,0
735,1
654,0
316,1
1556,1
641,0
457,0
402,1
1111,1
2932,0
2115,0
839,0
669,1
337,1
3107,0
2781,1
895,0
1382,0
2890,0
1532,1
12,0
732,1
2708,0
1757,0
2523,0
938,0
621,0
2862,1
1124,1
2414,1
869,0
1792,0
856,0
2126,0
1568,1
1439,0
1904,1
153,0
1046,0
796,1
2228,0
1286,0
1873,0
1779,0
1139,1
3170,1
1272,0
1401,0
3242,1
1755,0
1518,1
276,1
2936,0
728,1
1866,0
1318,0
1337,0
343,1
2253,0
1670,0
2710,1
3106,0
2597,0
401,1
2346,1
1210,1
2385,1
848,0
2761,1
3139,1
2178,0
2384,1
2630,0
1427,0
729,1
2603,0
318,1
3204,1
2577,0
1884,0
3169,1
452,0
1179,1
2826,1
2780,1
924,0
2635,0
298,1
1710,0
3041,0
931,0
521,0
743,1
541,0
202,0
2566,0
2210,0
1668,0
1022,0
2786,1
3275,1
2943,0
3004,0
2952,0
1941,1
2131,0
2232,0
1450,0
2850,1
391,1
1870,0
772,1
399,1
1444,0
2617,0
542,0
821,0
891,0
586,0
340,1
2753,1
2157,0
1789,0
2547,0
1853,0
1711,0
499,0
2267,0
1434,0
3274,1
994,0
2726,1
2847,1
1269,0
1405,0
1880,0
1697,0
2901,0
882,0
2829,1
607,0
80,0
2676,0
2117,0
2333,1
926,0
2865,1
1679,0
705,1
2720,1
265,1
1826,0
2340,1
3036,0
1515,1
2092,0
1971,1
1107,1
2609,0
1021,0
1822,0
2482,0
1691,0
1705,0
3265,1
3154,1
2035,1
2124,0
612,0
1013,0
1918,1
2272,0
589,0
571,0
1211,1
708,1
3232,1
2418,1
3230,1
2602,0
1731,0
3008,0
1551,1
1749,0
3082,0
2060,0
411,0
2481,0
1598,1
1501,1
888,0
687,1
911,0
2611,0
1533,1
1276,0
1293,0
3031,0
3235,1
2666,0
3003,0
531,0
1422,0
1850,0
3066,0
3222,1
361,1
2954,0
2838,1
1362,0
2542,0
2771,1
96,0
889,0
3060,0
997,0
362,1
2540,0
533,0
1491,1
1851,0
3166,1
1302,0
539,0
615,0
3231,1
3062,0
758,1
2372,1
2840,1
1869,0
1992,1
1559,1
2852,1
2014,1
1076,1
567,0
2688,0
2535,0
2144,0
2636,0
2985,0
2552,0
546,0
2299,0
1041,0
2988,0
686,1
2521,0
2598,0
246,0
41,0
907,0
2705,0
807,1
3068,0
1133,1
964,0
56,0
1773,0
2626,0
593,0
456,0
1913,1
2064,0
995,0
3189,1
1148,1
1477,0
1545,1
2639,0
302,1
575,0
513,0
2640,0
1468,0
79,0
388,1
1650,0
966,0
1440,0
232,0
2047,1
3065,0
3109,0
1230,0
2820,1
1073,1
278,1
108,0
2714,1
1078,1
1699,0
1150,1
3090,0
2465,0
2888,0
2028,1
2452,1
247,0
2165,0
231,0
3194,1
297,1
870,0
609,0
2176,0
161,0
3076,0
2687,0
2957,0
967,0
3025,0
3101,0
1630,1
2515,0
2545,0
73,0
260,1
384,1
2941,0
1605,1
1088,1
2141,0
1083,1
691,1
1262,0
2166,0
1815,0
2118,0
2632,0
2214,0
2612,0
650,0
905,0
1748,0
1175,1
2265,0
828,0
965,0
1043,0
2759,1
1454,0
1629,1
486,0
632,0
776,1
107,0
698,1
3263,1
2744,1
2990,0
2827,1
55,0
2429,1
2336,1
1845,0
212,0
3229,1
475,0
707,1
1199,1
638,0
2750,1
2287,0
818,1
1637,1
2269,0
1906,1
1389,0
2638,0
1314,0
1377,0
2998,0
1305,0
267,1
1458,0
2281,0
2445,1
1544,1
1209,1
1820,0
1271,0
17,0
515,0
963,0
1298,0
817,1
1123,1
3015,0
1245,0
1570,1
2349,1
1788,0
1603,1
348,1
2792,1
2473,0
2058,0
3191,1
118,0
2055,0
1620,1
2845,1
861,0
2506,0
1482,1
1936,1
2605,0
3086,0
48,0
3095,0
2319,1
960,0
1273,0
390,1
1640,0
1241,0
1694,0
128,0
2015,1
739,1
451,0
794,1
1988,1
2511,0
2402,1
1461,0
1714,0
1882,0
2161,0
1899,1
1602,1
2407,1
2098,0
2659,0
1182,1
599,0
1778,0
2369,1
1320,0
2256,0
1832,0
820,0
1447,0
1547,1
122,0
2114,0
2919,0
2658,0
2993,0
3059,0
688,1
577,0
1780,0
581,0
540,0
2870,0
3002,0
2955,0
469,0
455,0
197,0
363,1
1117,1
1836,0
713,1
1614,1
2243,0
1039,0
3108,0
9,0
841,0
838,0
868,0
696,1
2555,0
1114,1
2416,1
970,0
1782,0
3078,0
1901,1
2628,0
2567,0
430,0
1264,0
2433,1
3021,0
1909,1
1277,0
1808,0
1239,0
2104,0
2819,1
1801,0
85,0
216,0
1642,0
2918,0
198,0
25,0
177,0
1248,0
2394,1
2711,1
1631,1
3198,1
1724,0
1948,1
1607,1
1541,1
1423,0
1341,0
193,0
2125,0
1496,1
833,0
764,1
370,1
1651,0
413,0
1481,1
1070,1
1835,0
2347,1
2458,1
460,0
208,0
1207,1
39,0
606,0
1720,0
84,0
1295,0
2327,1
2846,1
2967,0
826,0
1529,1
491,0
3165,1
3239,1
2213,0
2393,1
1452,0
1962,1
3247,1
3177,1
3085,0
2169,0
2775,1
2350,1
751,1
3075,0
613,0
553,0
115,0
2139,0
1181,1
3094,0
2776,1
574,0
2313,1
2387,1
200,0
1616,1
2088,0
3183,1
2199,0
552,0
520,0
1554,1
678,1
51,0
379,1
2246,0
3187,1
1722,0
2154,0
448,0
1840,0
1168,1
3074,0
962,0
2446,1
1180,1
1215,1
313,1
331,1
823,0
81,0
1493,1
2239,0
1783,0
2359,1
419,0
510,0
2042,1
346,1
1410,0
377,1
2981,0
2344,1
1478,0
2816,1
2722,1
3272,1
268,1
3227,1
472,0
1553,1
1957,1
1812,0
619,0
1430,0
229,0
1000,0
2928,0
1049,0
2417,1
1178,1
54,0
2109,0
345,1
3193,1
2909,0
1979,1
3258,1
2531,0
234,0
2487,0
2388,1
2295,0
1963,1
1871,0
2724,1
1446,0
943,0
2105,0
221,0
2362,1
2953,0
2498,0
1912,1
1585,1
1218,1
70,0
289,1
1433,0
858,0
1881,0
1152,1
1831,0
407,1
2733,1
1255,0
3067,0
2707,0
61,0
640,0
1713,0
2769,1
2352,1
3135,1
1856,0
523,0
190,0
1476,0
2150,0
2371,1
1009,0
2466,0
11,0
3050,0
1469,0
3116,0
1791,0
3077,0
2277,0
929,0
1479,0
1404,0
1169,1
103,0
1680,0
133,0
2071,0
2848,1
1030,0
165,0
909,0
458,0
2021,1
1184,1
2202,0
1061,0
1311,0
918,0
1351,0
319,1
916,0
2828,1
403,1
1621,1
1686,0
2651,0
2032,1
2022,1
1569,1
2143,0
1026,0
1228,1
371,1
1798,0
189,0
481,0
113,0
3022,0
1064,0
2663,0
955,0
0,0
2631,0
2784,1
836,0
1687,0
1251,0
2082,0
2063,0
1131,1
2146,0
1874,0
712,1
207,0
1225,1
134,0
1947,1
3201,1
2999,0
3127,1
1842,0
3011,0
2039,1
530,0
2973,0
2364,1
3241,1
30,0
500,0
2849,1
2728,1
2668,0
2085,0
2507,0
2946,0
2444,1
2306,1
1576,1
1943,1
904,0
3037,0
1703,0
1403,0
2853,1
1349,0
3016,0
690,1
685,1
635,0
1715,0
1600,1
1537,1
1354,0
1361,0
2315,1
623,0
1047,0
506,0
64,0
1740,0
2025,1
2534,0
281,1
925,0
2912,0
842,0
116,0
2410,1
2525,0
130,0
2746,1
1242,0
2343,1
780,1
717,1
431,0
1141,1
498,0
2972,0
2305,1
1142,1
629,0
651,0
2430,1
2661,0
186,0
1235,0
2916,0
3212,1
1297,0
908,0
2297,0
433,0
2548,0
320,1
2027,1
2843,1
2863,1
1134,1
3173,1
2695,0
1638,1
1745,0
1346,0
656,0
2992,0
2192,0
1097,1
1247,0
1704,0
1736,0
3006,0
1104,1
716,1
2477,0
52,0
1885,0
1639,1
1931,1
1105,1
1754,0
1412,0
441,0
1414,0
695,1
288,1
3158,1
2069,0
67,0
1358,0
98,0
2196,0
1005,0
2496,0
2100,0
1930,1
1535,1
1310,0
583,0
90,0
2328,1
2634,0
2738,1
490,0
2479,0
1387,0
2642,0
3156,1
257,1
164,0
1014,0
1197,1
1174,1
1578,1
1828,0
2716,1
2889,0
1032,0
3141,1
1256,0
2984,0
3132,1
1690,0
2584,0
800,1
1643,0
2803,1
380,1
2698,0
3264,1
2129,0
556,0
3185,1
1080,1
1254,0
2650,0
2103,0
566,0
341,1
418,0
1372,0
2977,0
2804,1
3213,1
1154,1
2468,0
2646,0
1485,1
1093,1
898,0
1359,0
280,1
745,1
1151,1
333,1
1456,0
1424,0
222,0
1666,0
579,0
2486,0
35,0
1684,0
201,0
827,0
445,0
2546,0
2796,1
727,1
877,0
102,0
2398,1
3218,1
2184,0
1253,0
1428,0
720,1
2302,1
151,0
1861,0
2247,0
2930,0
1243,0
1732,0
1381,0
76,0
725,1
1385,0
228,0
287,1
1037,0
2242,0
352,1
158,0
2923,0
773,1
1839,0
2312,1
2204,0
1723,0
951,0
1467,0
239,0
414,0
1512,1
2948,0
1367,0
1103,1
3007,0
2235,0
1288,0
2644,0
50,0
1990,1
1707,0
2564,0
1827,0
1525,1
1390,0
1889,0
1594,1
2793,1
1202,1
1219,1
1726,0
427,0
1317,0
209,0
395,1
797,1
3102,0
625,0
2543,0
1345,0
674,1
3019,0
2437,1
682,1
2978,0
241,0
1807,0
637,0
1673,0
3209,1
2464,0
1465,0
749,1
1929,1
1312,0
2248,0
948,0
3188,1
92,0
2887,0
1289,0
1386,0
2471,0
1300,0
723,1
292,1
146,0
1391,0
87,0
330,1
1590,1
1417,0
1747,0
275,1
121,0
2509,0
3269,1
394,1
2491,0
2167,0
1593,1
684,1
429,0
307,1
1162,1
775,1
1846,0
1192,1
959,0
3160,1
290,1
2915,0
1492,1
844,0
517,0
1323,0
1315,0
1132,1
1418,0
397,1
1891,1
747,1
718,1
1653,0
2798,1
2729,1
1612,1
1709,0
1528,1
805,1
2671,0
941,0
2212,0
2983,0
1790,0
1526,1
1785,0
561,0
1212,1
3010,0
1767,0
1811,0
830,0
152,0
1383,0
2571,0
694,1
2182,0
349,1
1848,0
2914,0
1739,0
1350,0
3149,1
2585,0
453,0
1176,1
643,0
748,1
1280,0
1669,0
389,1
1344,0
3146,1
434,0
423,0
2868,0
1833,0
2283,0
2674,0
1606,1
1502,1
2005,1
1378,0
881,0
2685,0
266,1
154,0
173,0
3014,0
1373,0
1896,1
647,0
214,0
2408,1
2018,1
741,1
2207,0
887,0
2062,0
957,0
354,1
1777,0
617,0
3260,1
489,0
504,0
2149,0
2691,0
2836,1
2250,0
913,0
2934,0
1129,1
2924,0
1055,0
82,0
731,1
182,0
733,1
1737,0
1942,1
664,1
2451,1
1249,0
2225,0
914,0
1688,0
1441,0
336,1
1353,0
1983,1
1357,0
1938,1
1069,0
285,1
1567,1
1966,1
2303,1
2099,0
2690,0
2814,1
